UID          PID    PPID  C STIME TTY          TIME CMD
root         593       1  0 20:32 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        607     539  0 20:32 ?        00:00:00 avahi-daemon: chroot helper
root         622       1  0 20:32 ?        00:00:00 /usr/sbin/ModemManager
root         628       1  0 20:32 ?        00:00:00 /usr/sbin/cups-browsed
root         658       1  0 20:32 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         660       1  0 20:32 ?        00:00:00 /usr/sbin/gdm3
root         674     660  0 20:32 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
kennybc      694       1  0 20:32 ?        00:00:00 /lib/systemd/systemd --user
kennybc      696     694  0 20:32 ?        00:00:00 (sd-pam)
whoopsie     708       1  0 20:32 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     711       1  0 20:32 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     720       1  0 20:32 ?        00:00:00 /usr/sbin/kerneloops
kennybc      729     694  0 20:32 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
kennybc      732     694  0 20:32 ?        00:00:00 /usr/libexec/tracker-miner-fs
kennybc      734       1  0 20:32 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kennybc      738     674  0 20:32 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
kennybc      740     738  1 20:32 tty2     00:00:05 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
rtkit        741       1  0 20:32 ?        00:00:00 /usr/libexec/rtkit-daemon
kennybc      745     694  0 20:32 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kennybc      749     694  0 20:32 ?        00:00:00 /usr/libexec/gvfsd
kennybc      758     694  0 20:32 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
kennybc      761     694  0 20:32 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
kennybc      784     694  0 20:32 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
